Row	Col	SystematicName	logFC	AveExpr	t	P.Value	adj.P.Val	B
117_35_hsa-miR-145	117	35	hsa-miR-145	-1.34155118148617	14.9307853718346	-8.11630101506122	2.24084832954009e-13	6.03057102445828e-11	19.9846552387399
162_28_hsa-miR-125b	162	28	hsa-miR-125b	-0.458439618379325	14.5407068724218	-3.81945235277596	0.000200478961447587	0.00252116346283993	0.218516542155916
118_47_hsa-let-7b	118	47	hsa-let-7b	0.327196674015521	13.9564260195961	4.26263388788974	3.69598658963095e-05	0.000630355669827464	1.80338580582831
97_55_hsa-miR-141	97	55	hsa-miR-141	0.809227702080687	13.7607182634524	5.49504080822483	1.79572525172522e-07	6.34206797564688e-06	6.86841392985994
135_47_hsa-miR-26a	135	47	hsa-miR-26a	-0.228597222924158	13.6643287429662	-3.20420542310937	0.00167811759466408	0.0141129689711249	-1.74416524753436
41_38_hsa-miR-23b	41	38	hsa-miR-23b	-0.599955385219884	13.3924669074608	-4.91130403151262	2.49208617183761e-06	6.18699474690902e-05	4.35721613591893
23_62_hsa-miR-23a	23	62	hsa-miR-23a	-0.346191103802381	13.0700914301541	-3.21886093736682	0.00160033182379673	0.0135947380183136	-1.70080069776085
118_34_hsa-miR-19b	118	34	hsa-miR-19b	0.67510649747809	13.0621523088036	5.44735294357921	2.24108266537569e-07	7.73230983212699e-06	6.65631961368121
106_42_hsa-miR-200c	106	42	hsa-miR-200c	0.880344432063342	12.7997626459388	6.20852688509482	5.73895775582264e-09	3.19060262476951e-07	10.1748504065211
77_65_hsa-miR-143	77	65	hsa-miR-143	-0.987042891559295	12.7958915710459	-5.8559106280972	3.24003163741365e-08	1.4188488717533e-06	8.51060253140761
36_55_hsa-miR-27b	36	55	hsa-miR-27b	-0.587790930805639	12.711164877605	-5.88671251333607	2.79151608523389e-08	1.25859999003271e-06	8.65370746767281
116_41_hsa-miR-24	116	41	hsa-miR-24	-0.386612122756304	12.6849131511552	-4.70913757147303	5.93240620775172e-06	0.000136455483643602	3.53308872335097
25_43_hsa-miR-30b	25	43	hsa-miR-30b	0.40704146235961	12.63203048298	3.57297818566235	0.000484905638636283	0.00518671722852927	-0.602127121708578
88_38_hsa-miR-148a	88	38	hsa-miR-148a	1.10578322680665	12.498293928623	6.89942103031732	1.66828558183664e-10	1.47687176244696e-08	13.5865972119639
166_36_hsa-miR-375	166	36	hsa-miR-375	1.12629672423949	12.2899852981959	4.48481498196259	1.51004568883003e-05	0.000303724585783212	2.6480849687307
12_43_hsa-miR-29a	12	43	hsa-miR-29a	-0.185750773662292	12.2327290823785	-3.10829687096473	0.00228044459897303	0.0178612703863685	-2.02373004908371
17_54_hsa-miR-27a	17	54	hsa-miR-27a	-0.323515918118931	12.0776695493505	-3.00480620057922	0.00315083106873202	0.0227699156073352	-2.31710174827722
43_53_hsa-miR-22	43	53	hsa-miR-22	-0.45413819451058	11.886200124026	-3.32057805898028	0.00114623259866305	0.0103933327814084	-1.39516115510781
98_42_hsa-miR-100	98	42	hsa-miR-100	-0.433995143938322	11.6119225428996	-3.42331588768113	0.000812042282665779	0.00784410693147935	-1.07825905040866
104_38_hsa-miR-199a-5p	104	38	hsa-miR-199a-5p	-0.34193056390764	11.3960175016245	-2.7664988079556	0.00643335213438932	0.038819366062934	-2.95928057543409
79_39_hsa-miR-34a	79	39	hsa-miR-34a	-0.283499430041358	11.3132597403129	-2.79236264520234	0.00596618933268776	0.0365816897913755	-2.89186476275758
111_36_hsa-miR-768-3p	111	36	hsa-miR-768-3p	0.372659323521779	11.2759280252075	3.09473984203602	0.00238017726701721	0.0184172888470291	-2.06265347480983
185_37_hsa-miR-130a	185	37	hsa-miR-130a	-0.447600734907988	11.2110362755882	-4.04102148048201	8.74859048219485e-05	0.00129648715339663	0.993774452068111
60_45_hsa-miR-20a	60	45	hsa-miR-20a	0.603062661172055	11.146193123451	4.33498420375459	2.77083187843748e-05	0.000495802044631047	2.07488665147685
82_48_hsa-miR-30c	82	48	hsa-miR-30c	-0.309080518861109	11.1081016947734	-3.21025954753347	0.00164556792919693	0.0138889261612935	-1.72627218814504
17_69_hsa-miR-17	17	69	hsa-miR-17	0.674671043087052	11.0848210698386	5.61044309395409	1.04561330894919e-07	3.96331624935782e-06	7.38651453658996
112_32_hsa-miR-205	112	32	hsa-miR-205	-1.76007617189018	11.0305133794747	-4.0673044609807	7.9118908858283e-05	0.00119054377496105	1.08803121026105
159_14_hsa-miR-1225-5p	159	14	hsa-miR-1225-5p	0.617556675790535	10.9783596610893	3.00366842556717	0.00316190957036898	0.022813219935059	-2.32027879978658
114_46_hsa-miR-106b	114	46	hsa-miR-106b	0.54801367172055	10.9432193543444	5.87761936327751	2.91717659824463e-08	1.30410393043122e-06	8.61141434656861
167_35_hsa-miR-142-3p	167	35	hsa-miR-142-3p	0.655784341795824	10.8832249202317	3.1616855403921	0.00192414200237622	0.0157113415242534	-1.86901291325395
75_50_hsa-miR-365	75	50	hsa-miR-365	-0.317738480842129	10.7586452203282	-3.10939965761533	0.00227250449744019	0.0178302160452217	-2.02055735188226
49_22_hsa-miR-29b	49	22	hsa-miR-29b	-0.32630070310527	10.7504268197494	-2.69161042268782	0.00797960823372893	0.045593888914249	-3.15131035995788
153_42_hsa-miR-15b	153	42	hsa-miR-15b	0.368837400971247	10.6030893166708	3.26416691791031	0.00138056723922488	0.0121338424369758	-1.56567001762356
106_32_hsa-miR-1	106	32	hsa-miR-1	-0.624072662824641	10.5656313364936	-3.16097575016479	0.00192851950308828	0.0157338946652375	-1.87108479507035
150_40_hsa-miR-133b	150	40	hsa-miR-133b	-0.973837828650037	10.5050740892646	-5.499734153671	1.75688615590464e-07	6.25414288726265e-06	6.88935164661855
92_32_hsa-miR-20b	92	32	hsa-miR-20b	0.53030258132635	10.3769633946657	3.60512264946126	0.000433179674801896	0.0047273849992979	-0.497653664153125
93_37_hsa-miR-25	93	37	hsa-miR-25	0.79881982077819	10.2401766385167	8.71946453232425	7.37735728867644e-15	4.96348598382151e-12	23.2931235760596
